student_id,name,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,final_grade
S022,Kabir Malhotra,GP,M,18,U,LE3,A,3,2,health,at_home,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,5,4,4,4,5,3,22,14,15,14
S023,Mehak Chopra,MS,F,19,R,LE3,T,0,1,health,services,home,mother,2,3,0,yes,yes,no,no,no,no,yes,yes,3,3,3,1,2,3,21,20,20,20
S024,Akash Pillai,MS,M,17,U,GT3,T,1,0,at_home,health,course,other,3,4,0,no,no,no,no,no,yes,yes,no,3,5,4,1,1,2,25,16,14,14
S025,Shreya Rao,GP,F,17,U,LE3,A,1,4,teacher,teacher,home,father,3,4,0,yes,yes,no,no,no,no,no,yes,5,1,3,2,3,1,20,15,17,16
S026,Shivam Sinha,MS,M,19,R,GT3,T,2,4,teacher,teacher,home,mother,3,3,2,no,no,yes,yes,yes,yes,no,yes,5,4,1,1,1,5,0,19,18,17
S027,Aarav Sharma,MS,M,18,R,LE3,A,1,3,other,health,other,mother,2,2,0,no,no,no,yes,no,no,no,yes,4,5,4,3,3,5,16,14,15,13
S028,Parth Choudhary,GP,M,18,U,LE3,T,0,2,teacher,teacher,other,other,2,4,3,yes,no,yes,no,yes,no,yes,yes,4,2,2,4,3,3,23,15,13,13
S029,Bhavna Kapoor,MS,F,19,R,LE3,T,0,1,services,health,home,father,1,2,0,no,yes,yes,no,yes,no,no,no,5,2,1,4,4,5,15,16,15,17
S030,Varun Tiwari,GP,M,19,R,GT3,A,1,1,teacher,services,other,father,1,4,1,yes,yes,no,no,no,no,no,no,4,2,3,3,1,2,4,13,15,17
S031,Ananya Singh,MS,F,15,U,LE3,A,4,0,other,teacher,course,mother,3,3,0,no,yes,yes,yes,no,no,yes,no,3,1,3,3,3,2,0,13,15,16
S032,Pooja Nair,MS,F,17,U,LE3,A,2,0,teacher,at_home,reputation,mother,4,3,0,no,yes,no,yes,no,no,no,no,4,1,1,4,1,5,15,13,12,10
S033,Rishabh Dubey,MS,M,16,R,LE3,T,0,0,services,teacher,home,mother,2,2,0,no,no,yes,no,yes,no,no,no,2,3,2,4,3,2,7,10,10,8
S034,Dev Saxena,MS,M,16,U,LE3,A,0,3,at_home,health,home,mother,3,3,3,yes,yes,yes,yes,yes,no,yes,yes,4,2,1,5,3,3,0,18,16,17
S035,Naina Malhotra,GP,F,15,R,GT3,A,1,2,at_home,health,other,other,1,1,0,no,yes,no,yes,yes,no,no,yes,2,4,4,4,1,5,16,10,8,6
S036,Priya Patel,GP,F,19,U,GT3,A,4,4,services,teacher,course,father,4,1,1,yes,yes,no,no,yes,no,no,no,5,4,1,3,3,3,18,8,7,7
S037,Sanya Reddy,GP,F,18,U,GT3,T,0,2,health,other,home,other,3,2,0,no,yes,no,no,no,yes,yes,yes,5,2,1,2,5,4,1,19,20,20
S038,Ayaan Khan,MS,M,16,U,LE3,T,2,2,services,services,home,mother,2,4,0,yes,yes,yes,no,no,no,no,yes,3,3,2,5,4,2,0,8,10,8
S039,Palak Bhatia,GP,F,18,R,LE3,A,4,3,teacher,services,reputation,other,1,3,0,no,no,no,yes,yes,no,yes,yes,2,3,2,2,2,3,8,5,6,8
S040,Jiya Pillai,GP,F,19,U,LE3,T,4,2,at_home,teacher,home,father,1,4,2,no,no,no,no,no,yes,no,yes,4,2,4,4,2,1,9,4,5,7
S041,Vikram Patel,MS,M,17,U,LE3,A,1,2,health,at_home,home,other,2,4,0,yes,yes,yes,yes,no,yes,yes,yes,2,2,3,4,5,5,7,18,20,19
S042,Samarth Jain,MS,M,18,U,LE3,T,3,2,services,other,home,father,1,4,0,yes,yes,no,no,yes,yes,no,no,5,5,1,4,4,2,8,16,18,16
S043,Diya Joshi,GP,F,15,R,GT3,A,4,1,at_home,health,other,father,2,3,0,no,no,no,no,yes,no,yes,no,1,5,5,4,4,4,10,10,12,13
S044,Rahul Verma,MS,M,19,R,LE3,T,0,2,other,teacher,course,mother,1,4,0,yes,no,no,yes,yes,no,no,yes,3,2,2,1,3,2,9,20,20,19
S045,Kavya Mehta,MS,F,16,U,LE3,T,1,4,health,teacher,home,father,3,2,2,no,no,yes,yes,no,no,yes,no,5,4,4,2,3,5,10,8,7,5
S046,Simran Saxena,GP,F,17,R,GT3,A,4,0,other,at_home,course,mother,2,3,0,yes,no,yes,yes,no,no,yes,no,1,4,4,3,2,5,0,11,9,11
S047,Amit Kumar,GP,M,15,R,GT3,T,2,3,health,teacher,other,other,1,2,0,yes,yes,no,yes,no,yes,no,yes,1,2,3,5,4,1,0,16,18,18
S048,Nikhil Rao,GP,M,15,U,LE3,A,4,2,health,other,other,mother,1,4,0,yes,no,no,yes,no,no,no,yes,4,1,3,1,1,5,16,17,16,18
S049,Rishi Iyer,MS,M,18,R,GT3,A,1,1,at_home,teacher,home,father,2,2,0,yes,no,no,no,no,no,yes,yes,4,3,1,3,3,2,18,10,11,11
S050,Harsh Agarwal,MS,M,18,R,GT3,A,2,4,services,at_home,other,mother,4,2,0,no,yes,yes,no,no,no,no,no,2,4,2,3,1,3,14,12,10,10
S051,Ankit Mishra,MS,M,16,R,GT3,T,4,3,at_home,health,home,mother,3,3,0,yes,yes,no,no,no,no,yes,yes,5,3,4,2,3,2,0,10,9,8
S052,Aditi Tiwari,MS,F,18,U,LE3,A,1,4,services,teacher,reputation,mother,2,2,0,no,yes,no,no,yes,no,no,yes,2,3,4,2,1,3,23,6,7,7
S053,Arjun Singh,MS,M,19,R,LE3,T,0,0,services,teacher,other,other,4,4,1,yes,yes,no,yes,no,no,no,yes,5,5,2,2,3,5,0,9,8,9
S054,Siddharth Joshi,GP,M,17,U,LE3,T,4,2,at_home,services,reputation,other,3,3,0,yes,yes,yes,yes,no,yes,yes,yes,1,5,2,1,4,5,14,14,15,16
S055,Aisha Khan,MS,F,18,R,LE3,T,2,3,at_home,at_home,reputation,father,4,4,0,no,yes,no,no,no,no,yes,no,5,5,1,2,1,4,0,12,11,11
